"age","ypred_m","ypred_lq","ypred_uq","yrep_m","yrep_lq","yrep_uq","Species"
3,17.9272478136353,16.6731276415903,19.1641473590288,16.3183300937995,15.5445119764548,17.0650410884529,"Acanthurus achilles"
4,18.3108901341898,16.8645317360203,19.799757413115,16.4781691636234,15.6251846460519,17.3226761609872,"Acanthurus achilles"
5,18.4358951416836,16.9157936011717,20.0352755480895,16.5174887060148,15.6418092698723,17.3941679834111,"Acanthurus achilles"
6,18.477343244185,16.9296534887101,20.1303448164116,16.527362362571,15.6433794858438,17.4155774020857,"Acanthurus achilles"
7,18.4913165588287,16.9332536397082,20.1812457429007,16.5298905503345,15.6456936077652,17.4215494948013,"Acanthurus achilles"
8,18.4961027667234,16.934185452261,20.1972968071824,16.5305499715356,15.6468327805921,17.4232265730284,"Acanthurus achilles"
9,18.4977673049774,16.9344266402037,20.201969684707,16.5307250099043,15.6471428477781,17.4236964823181,"Acanthurus achilles"
10,18.4983547246595,16.9344890712942,20.2036551816285,16.5307722535294,15.6472272559006,17.4238278076538,"Acanthurus achilles"
11,18.498564969726,16.9345052321249,20.2042816280186,16.5307852086276,15.6472502359283,17.4238646841183,"Acanthurus achilles"
12,18.4986412518025,16.9345094156564,20.2045144649412,16.530788815221,15.64725649255,17.4238750403374,"Acanthurus achilles"
13,18.4986692971803,16.9345104986808,20.2046010079756,16.530789833829,15.6472581960545,17.4238779490357,"Acanthurus achilles"
14,18.498679741741,16.9345107790617,20.2046331760497,16.5307901254964,15.6472586598806,17.423878766063,"Acanthurus achilles"
15,18.4986836807005,16.9345108516511,20.2046451332919,16.5307902101177,15.6472587861715,17.4238789955776,"Acanthurus achilles"
16,18.498685184641,16.9345108704447,20.2046495780732,16.5307902349803,15.6472588205584,17.4238790600563,"Acanthurus achilles"
0,0.466959819161704,-0.536476552323568,1.4186176330074,0.517088631845966,-0.594466116940614,1.55377286109791,"Acanthurus achilles"
1,12.9055639634895,11.9536123885789,13.9126200838608,12.8331309934743,11.9510590380258,13.7171322551869,"Acanthurus achilles"
2,16.7280017211218,15.8013549530022,17.6405288776854,15.659954604291,15.0467545542966,16.276210748706,"Acanthurus achilles"
3,17.9272478136353,16.6731276415903,19.1641473590288,16.3240432684981,15.6235212527507,16.9883148142965,"Acanthurus achilles"
4,18.3108901341898,16.8645317360203,19.799757413115,16.4835187612925,15.7138108924925,17.2022766853866,"Acanthurus achilles"
5,18.4358951416836,16.9157936011717,20.0352755480895,16.5226198625175,15.7359706848292,17.2720186211387,"Acanthurus achilles"
6,18.477343244185,16.9296534887101,20.1303448164116,16.5323975091061,15.7398726468524,17.2871157380056,"Acanthurus achilles"
7,18.4913165588287,16.9332536397082,20.1812457429007,16.5348885541062,15.7406376616874,17.2963393937693,"Acanthurus achilles"
8,18.4961027667234,16.934185452261,20.1972968071824,16.5355345124679,15.7407904056305,17.2982679154701,"Acanthurus achilles"
9,18.4977673049774,16.9344266402037,20.201969684707,16.5357048440228,15.7408209072099,17.2992798079648,"Acanthurus achilles"
10,18.4983547246595,16.9344890712942,20.2036551816285,16.5357504751283,15.7408269989076,17.299495937171,"Acanthurus achilles"
11,18.498564969726,16.9345052321249,20.2042816280186,16.5357628837804,15.7408282156712,17.2995263850398,"Acanthurus achilles"
12,18.4986412518025,16.9345094156564,20.2045144649412,16.5357663061212,15.7408284587352,17.2995348426084,"Acanthurus achilles"
13,18.4986692971803,16.9345104986808,20.2046010079756,16.5357672626757,15.740828507295,17.2995371952622,"Acanthurus achilles"
14,18.498679741741,16.9345107790617,20.2046331760497,16.5357675334163,15.7408285169972,17.2995378507478,"Acanthurus achilles"
15,18.4986836807005,16.9345108516511,20.2046451332919,16.535767610959,15.7408285189358,17.2995380336988,"Acanthurus achilles"
16,18.498685184641,16.9345108704447,20.2046495780732,16.5357676334174,15.7408285193232,17.2995380848613,"Acanthurus achilles"
17,18.4986857658787,16.9345108753106,20.2046512303526,16.5357676399908,15.7408285194006,17.2995380991996,"Acanthurus achilles"
