"Location","Species","lmax","age","ypred_m","ypred_lq","ypred_uq","yrep_m","yrep_lq","yrep_uq"
"Moorea","Caranx melampygus",117,3,24.1212188603763,21.2190786186331,27.3461750724417,24.1990861993301,21.5473678158492,28.1837182567317
"Moorea","Caranx melampygus",117,4,29.679975211469,26.5863650018207,33.1877983198854,29.57334399885,26.7641600299874,32.5030044979512
"Moorea","Caranx melampygus",117,5,34.784108412492,31.5412103880231,38.5467965996721,34.4625281292603,31.3886314465891,37.3538170664752
"Moorea","Caranx melampygus",117,6,39.4711909153958,36.1171289355472,43.4090481079247,38.9245201209714,34.4242182344281,41.9622744319678
"Marquesas","Chaetodon ornatissimus",20,0,-451.838648277457,-2667.95775159287,1.45191254267186,-192594.32094265,-1384742.29283925,1.37562431383079
"Marquesas","Chaetodon ornatissimus",20,1,2.01179538877641,-23.4222987911117,10.2831819688186,-49.0004942067989,-334.701148096841,10.234767571694
"Marquesas","Chaetodon ornatissimus",20,2,9.81529788355087,1.42552610258447,13.4697087702451,10.2070488446597,2.66093865472488,13.6803145685846
"Marquesas","Chaetodon ornatissimus",20,3,10.8514598566599,1.707280026708,15.2076750416735,11.3507786879252,2.80214415379491,15.7546870935257
"Marquesas","Chaetodon ornatissimus",20,0,-451.838648277457,-2667.95775159287,1.45191254267186,-20.2685944324655,-92.2350480630683,1.43489717993357
"Marquesas","Chaetodon ornatissimus",20,1,2.01179538877641,-23.4222987911117,10.2831819688186,5.88059410268211,-4.49986425721314,10.2709923641974
"Marquesas","Chaetodon ornatissimus",20,2,9.81529788355087,1.42552610258447,13.4697087702451,9.60951587795263,0.756774265839711,13.4541149867048
"Marquesas","Chaetodon ornatissimus",20,3,10.8514598566599,1.707280026708,15.2076750416735,10.6475823124423,1.08740054329022,15.312502487417
"Marquesas","Chaetodon ornatissimus",20,0,-451.838648277457,-2667.95775159287,1.45191254267186,-68173.93344625,-504237.639676622,1.40353279912127
"Marquesas","Chaetodon ornatissimus",20,1,2.01179538877641,-23.4222987911117,10.2831819688186,-31.4423985533601,-221.422368001966,10.2575863956436
"Marquesas","Chaetodon ornatissimus",20,2,9.81529788355087,1.42552610258447,13.4697087702451,10.1420828662496,2.46828256912155,13.6371127710712
"Marquesas","Chaetodon ornatissimus",20,3,10.8514598566599,1.707280026708,15.2076750416735,11.2557510449225,2.62868691577947,15.6424621960015
"Marquesas","Chaetodon ornatissimus",20,0,-451.838648277457,-2667.95775159287,1.45191254267186,-0.456159923074424,-2.99370617051697,1.61055804926703
