"Species","Location","Agei","Estimate","Est.Error","Q2.5","Q97.5"
"Ostorhinchus apogonoides","Marquesas",5.9,8.94330043688061,0.183566911241986,8.57816564145279,9.30692463796061
"Ostorhinchus apogonoides","Marquesas",6,8.959204065609,0.187014964303567,8.58840998803612,9.33134189451689
"Ostorhinchus apogonoides","Marquesas",6.1,8.97427090379978,0.190384861929507,8.59769250519373,9.35338089210807
"Ostorhinchus apogonoides","Marquesas",6.2,8.98854554718682,0.193673965838589,8.60484857137572,9.37538191571777
"Ostorhinchus apogonoides","Marquesas",6.3,9.00207018282876,0.196880309455361,8.61270926470192,9.39388575150816
"Ostorhinchus apogonoides","Marquesas",6.4,9.0148847210443,0.200002510872583,8.62111617208585,9.41364934514079
"Ostorhinchus apogonoides","Marquesas",6.5,9.02702692001295,0.203039696250443,8.62838925522621,9.4328354609537
"Ostorhinchus apogonoides","Marquesas",6.6,9.0385325034555,0.205991432412539,8.63456877485852,9.45024875834441
"Ostorhinchus apogonoides","Marquesas",6.7,9.04943527178443,0.208857667530423,8.64085005982865,9.46738080493797
"Ostorhinchus apogonoides","Marquesas",6.8,9.05976720709247,0.211638678914617,8.64592292475425,9.48410066461462
"Ostorhinchus apogonoides","Marquesas",6.9,9.06955857232607,0.214335027046729,8.65069459818356,9.50049406614193
"Ostorhinchus apogonoides","Marquesas",7,9.07883800497098,0.216947515093136,8.65536965868239,9.51620542971701
"Pristiapogon taeniopterus","Marquesas",0,1.20070600451481,0.91898913451312,-1.16475469946815,2.28429849641486
"Pristiapogon taeniopterus","Marquesas",0.1,1.67863460262616,0.800367577963241,-0.36954971989491,2.70545093262396
"Pristiapogon taeniopterus","Marquesas",0.2,2.1260734668131,0.701983268264235,0.361620082974162,3.10915190258662
"Pristiapogon taeniopterus","Marquesas",0.3,2.54507222881353,0.621859060065445,1.02704254143585,3.4906936080385
"Pristiapogon taeniopterus","Marquesas",0.4,2.93753439878198,0.558030682255066,1.62706890365331,3.85530719684267
"Pristiapogon taeniopterus","Marquesas",0.5,3.30522849028992,0.50845577047121,2.15623515811607,4.19652510026918
"Pristiapogon taeniopterus","Marquesas",0.6,3.6497982349412,0.47097675776759,2.62372166454162,4.5231199362309
"Pristiapogon taeniopterus","Marquesas",0.7,3.97277196701544,0.443362666063398,3.05097185521152,4.82812600648741
"Pristiapogon taeniopterus","Marquesas",0.8,4.27557125088272,0.423420628610952,3.42835292435369,5.11513572297517
"Pristiapogon taeniopterus","Marquesas",0.9,4.55951881704943,0.409132402635668,3.75241030429074,5.38046428433985
"Pristiapogon taeniopterus","Marquesas",1,4.82584586651304,0.398763490575021,4.0489581669671,5.63166660049385
"Pristiapogon taeniopterus","Marquesas",1.1,5.07569879754515,0.390915645536199,4.32404850181802,5.86940269077019
"Pristiapogon taeniopterus","Marquesas",1.2,5.31014540402172,0.384524224724829,4.57879826422748,6.09470935748677
"Pristiapogon taeniopterus","Marquesas",1.3,5.53018058991558,0.378819445259797,4.81139392574923,6.30345861630496
"Pristiapogon taeniopterus","Marquesas",1.4,5.73673164050749,0.373272406636975,5.02682011330655,6.49479767428087
"Pristiapogon taeniopterus","Marquesas",1.5,5.93066308721026,0.367540492067515,5.23212167596128,6.67662278336184
"Pristiapogon taeniopterus","Marquesas",1.6,6.11278119959506,0.361419599698681,5.41931352477009,6.84482539245379
"Pristiapogon taeniopterus","Marquesas",1.7,6.28383813522175,0.35480561787845,5.60140963116997,6.99973615844017
"Pristiapogon taeniopterus","Marquesas",1.8,6.44453577517417,0.347664864693344,5.77213728122576,7.14069235598663
"Pristiapogon taeniopterus","Marquesas",1.9,6.59552927075672,0.340012120745337,5.93677617920266,7.27273240384161
"Pristiapogon taeniopterus","Marquesas",2,6.73743032459421,0.331894654993111,6.0923663816667,7.39710983509093
"Pristiapogon taeniopterus","Marquesas",2.1,6.87081022737004,0.323380791344017,6.23945918105521,7.51264620086181
"Pristiapogon taeniopterus","Marquesas",2.2,6.99620266961667,0.314551830113137,6.37866129470836,7.62301268985371
"Pristiapogon taeniopterus","Marquesas",2.3,7.11410634631969,0.30549640653766,6.51409586573983,7.72065026192345
"Pristiapogon taeniopterus","Marquesas",2.4,7.22498737059459,0.296306595504679,6.64074722823712,7.81054318294632
"Pristiapogon taeniopterus","Marquesas",2.5,7.32928151133002,0.287075248870649,6.76379884485972,7.89631871614918
"Pristiapogon taeniopterus","Marquesas",2.6,7.42739626844886,0.277894184058877,6.88146226248858,7.97403474064058
"Pristiapogon taeniopterus","Marquesas",2.7,7.51971279830706,0.268852938871924,6.99091573114437,8.04844199021541
"Pristiapogon taeniopterus","Marquesas",2.8,7.60658770071955,0.260037876700875,7.09279136490534,8.11660221646394
"Pristiapogon taeniopterus","Marquesas",2.9,7.68835467816264,0.251531476597178,7.18941395351313,8.18017223306655
"Pristiapogon taeniopterus","Marquesas",3,7.76532607684463,0.243411680891068,7.2843498729069,8.24031525492136
"Pristiapogon taeniopterus","Marquesas",3.1,7.83779431855386,0.235751205102707,7.37361207886811,8.2975547811705
"Pristiapogon taeniopterus","Marquesas",3.2,7.90603323147758,0.228616745787756,7.45635400450607,8.35164967596127
"Pristiapogon taeniopterus","Marquesas",3.3,7.97029928753164,0.222068055515701,7.53330813406667,8.40215591430942
"Pristiapogon taeniopterus","Marquesas",3.4,8.03083275314242,0.216156892434069,7.60590655014277,8.45209119982183
"Pristiapogon taeniopterus","Marquesas",3.5,8.08785875987532,0.210925894174458,7.67349292785889,8.49947369544743
"Pristiapogon taeniopterus","Marquesas",3.6,8.14158830080231,0.206407468093643,7.73574863342175,8.5455209290986
"Pristiapogon taeniopterus","Marquesas",3.7,8.1922191580418,0.202622824433845,7.79544283653233,8.58812400593284
"Pristiapogon taeniopterus","Marquesas",3.8,8.23993676648267,0.199581296319881,7.84961353025017,8.63000771748419
"Pristiapogon taeniopterus","Marquesas",3.9,8.28491501831765,0.197280082030393,7.90066233694007,8.67269749217938
"Pristiapogon taeniopterus","Marquesas",4,8.32731701265663,0.195704507138183,7.94518492265122,8.71254571798949
"Pristiapogon taeniopterus","Marquesas",4.1,8.36729575416427,0.194828841420487,7.98395615265756,8.75274100385689
"Pristiapogon taeniopterus","Marquesas",4.2,8.40499480436721,0.194617630619412,8.01923372102135,8.79115432254709
"Pristiapogon taeniopterus","Marquesas",4.3,8.44054888900044,0.195027433589276,8.05342370893915,8.82678674770106
"Pristiapogon taeniopterus","Marquesas",4.4,8.47408446450947,0.196008807215839,8.08775525618379,8.86296773862451
"Pristiapogon taeniopterus","Marquesas",4.5,8.50572024659157,0.197508364004795,8.11623114494149,8.89559871484493
