"age","ypred_m","ypred_lq","ypred_uq","yrep_m","yrep_lq","yrep_uq","Species","Location"
2,4.59736356957967,4.17025087649418,4.90361074822053,3.7355684890678,3.30033482954448,4.2320011715513,"Chromis iomelas","Moorea"
3,4.87073059739001,4.2740317863203,5.374733289506,3.77479100203607,3.30528549854303,4.36457866849074,"Chromis iomelas","Moorea"
0,0.313124984263506,0.0921787531540095,0.544334658079099,0.305393741114679,0.0903109143785754,0.532872714459624,"Chromis iomelas","Moorea"
1,3.66328662311331,3.427307002511,3.88923145984799,3.66573234567965,3.42369404814704,3.8949890460953,"Chromis iomelas","Moorea"
2,4.59736356957967,4.17025087649418,4.90361074822053,4.66018009913788,4.35120269871008,4.93653510326466,"Chromis iomelas","Moorea"
3,4.87073059739001,4.2740317863203,5.374733289506,4.96590063713326,4.50612047277536,5.4364138948319,"Chromis iomelas","Moorea"
0,0.482693114232967,-0.508730283748132,1.4860012513445,0.459209236281349,-0.481797825133613,1.41246456078951,"Chromis viridis","Gambiers"
1,7.34844437938229,6.48969460013575,8.24130930097722,7.26046761229629,6.28022471438424,8.23193408296146,"Chromis viridis","Gambiers"
2,10.0318666554197,9.14774328693693,10.8925088509151,10.1461268150139,9.28052938407033,11.028969112984,"Chromis viridis","Gambiers"
3,11.1247209115443,9.70039752786219,12.315063398498,11.4291310597752,10.0163311878971,12.8207559976095,"Chromis viridis","Gambiers"
0,0.482693114232967,-0.508730283748132,1.4860012513445,0.417103574928782,-0.412508012608911,1.27355086822457,"Chromis viridis","Gambiers"
1,7.34844437938229,6.48969460013575,8.24130930097722,7.03896029779968,6.01445470229542,8.07009151257244,"Chromis viridis","Gambiers"
2,10.0318666554197,9.14774328693693,10.8925088509151,10.3696157929997,9.4255222436801,11.2783668654526,"Chromis viridis","Gambiers"
3,11.1247209115443,9.70039752786219,12.315063398498,12.0776896486012,11.0390543080689,13.0046664423719,"Chromis viridis","Gambiers"
4,11.5854478625239,9.83055062758411,13.1510861422723,12.9695180318915,11.5977594016786,14.2033595438447,"Chromis viridis","Gambiers"
5,11.7856552163783,9.86058455670293,13.6554960916404,13.4430403289465,11.7914981701529,15.0484739163476,"Chromis viridis","Gambiers"
0,0.482693114232967,-0.508730283748132,1.4860012513445,0.438387034646026,-0.44540392250753,1.34444602677148,"Chromis viridis","Gambiers"
1,7.34844437938229,6.48969460013575,8.24130930097722,7.18455462594946,6.25408195489684,8.17812584050801,"Chromis viridis","Gambiers"
2,10.0318666554197,9.14774328693693,10.8925088509151,10.3116099235935,9.47850864260063,11.1556019816227,"Chromis viridis","Gambiers"
3,11.1247209115443,9.70039752786219,12.315063398498,11.7937693133464,10.8188972661677,12.7214650376848,"Chromis viridis","Gambiers"
4,11.5854478625239,9.83055062758411,13.1510861422723,12.5109546517125,11.234135545313,13.7473306145768,"Chromis viridis","Gambiers"
5,11.7856552163783,9.86058455670293,13.6554960916404,12.8647615647379,11.3559877383509,14.4183844728638,"Chromis viridis","Gambiers"
0,0.482693114232967,-0.508730283748132,1.4860012513445,0.517271233248015,-0.535564158741388,1.57579101966102,"Chromis viridis","Gambiers"
1,7.34844437938229,6.48969460013575,8.24130930097722,7.43998268544405,6.63135571743578,8.24553148000702,"Chromis viridis","Gambiers"
2,10.0318666554197,9.14774328693693,10.8925088509151,9.757500291078,9.10610098976916,10.4147341452397,"Chromis viridis","Gambiers"
3,11.1247209115443,9.70039752786219,12.315063398498,10.5622927396932,9.68285372502139,11.3939140750077,"Chromis viridis","Gambiers"
4,11.5854478625239,9.83055062758411,13.1510861422723,10.8511112440004,9.80341800953006,11.894679227117,"Chromis viridis","Gambiers"
5,11.7856552163783,9.86058455670293,13.6554960916404,10.9579216466639,9.83301528901192,12.1208302256532,"Chromis viridis","Gambiers"
6,11.8750583702129,9.86924082058868,13.9013827441433,10.9985343745117,9.84235973642935,12.2292523460944,"Chromis viridis","Gambiers"
7,11.9159906423604,9.8716038900298,14.0481691834101,11.0143813799006,9.84565884624961,12.2753087001961,"Chromis viridis","Gambiers"
0,0.482693114232967,-0.508730283748132,1.4860012513445,0.51016888308758,-0.53349418152166,1.55065534869805,"Chromis viridis","Gambiers"
1,7.34844437938229,6.48969460013575,8.24130930097722,7.43381502525773,6.63194156396921,8.26631914338997,"Chromis viridis","Gambiers"
2,10.0318666554197,9.14774328693693,10.8925088509151,9.82740838916566,9.22499015361886,10.426022950188,"Chromis viridis","Gambiers"
3,11.1247209115443,9.70039752786219,12.315063398498,10.6804993784735,9.93291542499359,11.36915487374,"Chromis viridis","Gambiers"
4,11.5854478625239,9.83055062758411,13.1510861422723,10.9931165970491,10.1057883582205,11.8388407468166,"Chromis viridis","Gambiers"
5,11.7856552163783,9.86058455670293,13.6554960916404,11.1106491071274,10.1486706845399,12.0721691854697,"Chromis viridis","Gambiers"
6,11.8750583702129,9.86924082058868,13.9013827441433,11.1559018094844,10.1636585800735,12.1819800794542,"Chromis viridis","Gambiers"
7,11.9159906423604,9.8716038900298,14.0481691834101,11.173717593198,10.1651180140006,12.2343631924225,"Chromis viridis","Gambiers"
8,11.9351697925839,9.87224900019028,14.1342366179715,11.1808800274873,10.1657358132395,12.2550418483613,"Chromis viridis","Gambiers"
9,11.944352875476,9.8724251176183,14.1782139529889,11.1838170001388,10.1659751109044,12.2709150253699,"Chromis viridis","Gambiers"
